COMPANY NAME,COMPANY ADDRESS,TIN,NAM SALES
THE JUNCTION AT CARMELRAY,"CARMELRAY INDUSTRIAL PARK 1, BARANGAY CANLUBANG, CALAMBA CITY, LAGUNA, PHILIPPINES",,ALLYSON
"ENKEI PHILIPPINES, INC.","CARMELRAY INDUSTRIAL PARK 1, BARANGAY CANLUBANG, CALAMBA CITY, LAGUNA, PHILIPPINES",004-720-380-00000,ALLYSON
JAPLAS INJECTION MOULDERS CORP.,"FIRST PHILIPPINE INDUSTRIAL PARK, STA. ANASTACIA, STO TOMAS, BATANGAS, 4234, PHILIPPINES",007-365-094-00000,ALLYSON
KINPO ELECTRONICS (PHILIPPINES) INC.,"LOT 11 H.Y. DIMACALI AVENUE, FPIP II-SEZ, BARANGAY STA ANASTACIA, STO. TOMAS, BATANGAS, 4234 PHILIPPINES",008-689-792-001,ALLYSON
EZCONN TECHNOLOGY CORPORATION,"LIMA TECHNOLOGY CENTER - SPECIAL ECONOMIC ZONE, SAN LUCAS, LIPA CITY, BATANGAS, 4217, PHILIPPINES",659-278-372-00000,ALLYSON
HBM  METAL AND CABLE PHILIPPINES INC.,"LIMA TECHNOLOGY CENTER, SAN LUCAS, LIPA CITY, BATANGAS, 4217, PHILIPPINES",010-754-188-00000,ALLYSON
ITC PHILIPPINES MFG. INCORPORATED,"LOT I, BLOCK 7-A, PHASE 3, UNIT 3, LIMA TECHNOLOGY CENTER, BARANGAY SANTIAGO, MALVAR, BATANGAS, 4233, PHILIPPINES",010-890-249-00000,ALLYSON
SANSYU PRECISION LIPA INC.,"LIMA TECHNOLOGY CENTER, BARANGAY SANTIAGO, 4233, MALVAR, BATANGAS, PHILIPPINES",659-278-372-00000,ALLYSON
PHILIPPINE FOOTBALL FEDERATION,7 CAPTAIN HENRY JAVIER CORNER DANNY FLORO ST ORABO PASIG CITY,,IVY
MYBRUSH TECHNOLOGY PHILS INC,"BLDG V, LOT 33-B, PHASE 1B, FPIP-SEZ, BRGY ULANGO, TANAUAN CITY, BATANGAS, 4232",009-326-039-000,IVY
ASTI MANUFACTURING PHILS INC,"BLDG. W1-H W1-G & W1-I, LOT 14, FPIPII-SEZ, BRGY. STA. ANASTACIA, STO. TOMAS, BATANGAS",608-297-421-00000,IVY
ENSLP INC,"BLOCK1 LOT 1, LIGHT INDUSTRY AND SCIENCE PARK, BRGY SAN RAFAEL, STO TOMAS BATANGAS 4234",007-901-685-000,IVY
CHANGHONG TECHNOLOGY PHL CORPORATION,LOT 13C FIRST PHILIPPINE INDUSTRIAL PARK II-SEZ STO TOMAS CITY BATANGAS,009-084-532-00000,IVY
"SANKO GOSEI PHILIPPINES, INC",LOT 11 B PHASE 1B FIRST PHILIPPINE INDUSTRIAL PARK BRGY ULANGO TANAUAN CITY BATANGAS 4232,008-533-435-000,IVY
TE OPTOELECTRONICS PHILS,R4B & C LOT13 PHASE 1B FPIP-SEZ PANTAY BATA TANAUAN CITY BATANGAS,009-760-570-000,IVY
