NAM SUPPLY,,,,,,,,,
PRODUCT,CATEGORY,UNIT,SUPPLIER,SUPPLIER PRICE,NAM PRICE,MARGIN,,CATEGORY,
2D RING FILE (BLUE),,,, ₱ 135.00 , ₱ 182.25 ,35.00%,,CM – CLEANING / JANITORIAL MATERIALS,
3 - LAYER DRAWER WITH LOCK,FF,PC,, ₱ 800.00 ," ₱ 1,000.00 ",25.00%,,CO – CONSUMABLES / PACKAGING / INDUSTRIAL SUPPLIES,
"3/4"" TEPLON TAPE, TOMBO BRAND",CO,PC,, ₱ 20.00 , ₱ 26.60 ,33.00%,,CU – COMPANY UNIFORM / CLOTHING,
3M MAGIC SCOTCH TAPE 3/4IN X 1296IN / 19MM X 32.9M,OS,PC,, ₱ 150.00 , ₱ 202.50 ,35.00%,,FF – FURNITURE / FIXTURES / FIXED ASSETS,
"8MM X 2"" TOXS WITH FLATHEAD SCREW",MA,PC,, ₱ 2.00 , ₱ 3.99 ,99.50%,,MA – MAINTENANCE / MECHANICAL / HARDWARE,
90% ALCOHOL,CM,GALLON,, ₱ 300.00 , ₱ 405.00 ,35.00%,,MD – MEDICINE / MEDICAL ITEMS,
ACU DRAIN PUMP,TE,PC,, ₱ 219.56 , ₱ 451.44 ,105.61%,,OS – OFFICE SUPPLIES,
ADHESIVE HOOKS,TE,PC,, ₱ -   , ₱ -   ,#DIV/0!,,PPE – PERSONAL PROTECTIVE EQUIPMENT,
ADHESIVE STAR SHELWOOD WHITE GLUE 1 KILO/BOTTLE,TE,BOTTLE,, ₱ -   , ₱ -   ,#DIV/0!,,TE – TOOLS / ENGINEERING / TECHNICAL ITEMS,
ADVANCE RECORD BOOK 500 PAGES (BLUE),OS,PC,, ₱ 141.00 , ₱ 190.44 ,35.06%,,,
AIR FRESHENER,CM,GALLON,, ₱ 225.00 , ₱ 303.75 ,35.00%,,,
ALBATROSS 100G REFILL ONLY (SWEET MARMALADE/LEMON),CM,PC,, ₱ 57.00 , ₱ 76.95 ,35.00%,,,
ALBATROSS SINGLE LEMON BATHROOM DEODORIZER 475ML,CM,PC,, ₱ 37.50 , ₱ 41.88 ,11.68%,,,
ANTI CUT GLOVES,PPE,ROLL,, ₱ 195.35 , ₱ 295.37 ,51.20%,,,
ANGLE BOARD 40MM X 40MM X 4MM X 1000MM,CO,PC,SYNERGY, ₱ 21.00 , ₱ 28.35 ,35.00%,,,
ANGLE BOARD 50MM X 50MM X 4MM X 1000MM,CO,PC,SYNERGY, ₱ 23.00 , ₱ 31.05 ,35.00%,,,
APRON WITH EMBROIDERED COMPANY LOGO,CU,PC,, ₱ 128.00 , ₱ 190.00 ,48.44%,,,
"ARCH FILE A4 (BLACK, BLUE)",OS,PC,, ₱ 101.00 , ₱ 128.25 ,26.98%,,,
ARCH FILE LONG,OS,PC,, ₱ 101.00 , ₱ 128.25 ,26.98%,,,
ARCH FILE SHORT,OS,PC,, ₱ 80.00 , ₱ 101.25 ,26.56%,,,
ARMAK CLOTHDUCT TAPE 48MM X 10M X 2IN,CO,ROLL,ACE HARDWARE STO. TOMAS, ₱ 89.00 , ₱ 120.15 ,35.00%,,,
"ARTLINE WHITEBOARD MARKER 2MM (BLACK, BLUE, RED)",OS,PC,, ₱ 35.00 , ₱ 46.55 ,33.00%,,,
BALLPEN FABER CASTELL (BLACK),OS,PC,, ₱ 23.00 , ₱ 31.05 ,35.00%,,,
"BALLPEN FLEXSTICK 0.5MM (BLACK, RED)",OS,PC,, ₱ 4.00 , ₱ 6.06 ,51.50%,,,
