DATE,S/N,PO NUMBER,COMPANY,CATEGORY,ITEM,QUANTITY REQUESTED,SUPPLIER'S PRICE,TOTAL ACTUAL AMOUNT,NAM UNIT PRICE,TOTAL NAM AMOUNT,TOTAL NAM AMOUNT SUB TOTAL,INCOME,INCOME PERCENT,BUYER,DATE DELIVERED,PAYMENT TERM,DUE DATE,SI NUMBER, REMARKS,SUPPLIER,ADDRESS,TIN,CONTACT PERSON/CONTACT #,,
,,,,,,,,,,,,,,,,,,,,,,,,,
02/02/2026,001,PO-011426-01,ALMMSC,OFFICE SUPPLIES,SMARTIST A4,7, ₱ 152.00 ," ₱ 1,064.00 ", ₱ 165.00 ," ₱ 1,155.00 ",, ₱ 91.00 ,8%,,,,,,,,,,,,
02/02/2026,001,PO-011426-01,ALMMSC,OFFICE SUPPLIES,DONG A MY GEL 0.5 BLACK,7, ₱ 19.00 , ₱ 133.00 , ₱ 22.00 , ₱ 154.00 ,, ₱ 21.00 ,14%,,,,,,,,,,,,
02/02/2026,001,PO-011426-01,ALMMSC,OFFICE SUPPLIES,DONG A MY GEL 0.5 BLUE,1, ₱ 19.00 , ₱ 19.00 , ₱ 22.00 , ₱ 22.00 ,, ₱ 3.00 ,14%,,,,,,,,,,,,
02/02/2026,001,PO-011426-01,ALMMSC,OFFICE SUPPLIES,LONG BROWN ENVELOPE,10, ₱ 2.25 , ₱ 22.50 , ₱ 3.30 , ₱ 33.00 ,, ₱ 10.50 ,32%,,,,,,,,,,,,
02/02/2026,001,PO-011426-01,ALMMSC,OFFICE SUPPLIES,"SCOTCH TAPE 1""",2, ₱ 12.00 , ₱ 24.00 , ₱ 13.20 , ₱ 26.40 ,, ₱ 2.40 ,9%,,,,,,,,,,,,
02/02/2026,001,PO-011426-01,ALMMSC,OFFICE SUPPLIES,CORRECTION TAPE,2, ₱ 15.00 , ₱ 30.00 , ₱ 22.00 , ₱ 44.00 ,, ₱ 14.00 ,32%,,,,,,,,,,,,
02/02/2026,001,PO-011426-01,ALMMSC,OFFICE SUPPLIES,EPSON INK 003 BLACK,1, ₱ 310.00 , ₱ 310.00 , ₱ 324.50 , ₱ 324.50 ,, ₱ 14.50 ,4%,,,,,,,,,,,,
02/02/2026,001,PO-011426-01,ALMMSC,OFFICE SUPPLIES,NEWSPRINT A4,2, ₱ 84.00 , ₱ 168.00 , ₱ 93.50 , ₱ 187.00 ,, ₱ 19.00 ,10%,,,,,,,,,,,,
02/02/2026,001,PO-011426-01,ALMMSC,OFFICE SUPPLIES,LONG PLASTIC ENVELOPE,3, ₱ 13.41 , ₱ 40.23 , ₱ 16.50 , ₱ 49.50 ,, ₱ 9.27 ,19%,,,,,,,,,,,,
02/02/2026,001,PO-011426-01,ALMMSC,OFFICE SUPPLIES,DOWNY FABRIC CONDITIONER,1, ₱ 125.93 , ₱ 125.93 , ₱ 154.00 , ₱ 154.00 ,, ₱ 28.07 ,18%,,,,,,,,,,,,
02/02/2026,001,PO-011426-01,ALMMSC,CLEANING / JANITORIAL MATERIALS,ALBATROSS REFILL ONLY,1, ₱ 57.00 , ₱ 57.00 , ₱ 62.70 , ₱ 62.70 ,, ₱ 5.70 ,9%,,,,,,,,,,,,
02/02/2026,001,PO-011426-01,ALMMSC,OFFICE SUPPLIES,TIME CARD,4, ₱ 80.00 , ₱ 320.00 , ₱ 115.50 , ₱ 462.00 ,, ₱ 142.00 ,31%,,,,,,,,,,,,
02/02/2026,001,PO-011426-01,ALMMSC,OFFICE SUPPLIES,STICKER PAPER,5, ₱ 35.00 , ₱ 175.00 , ₱ 38.50 , ₱ 192.50 ,, ₱ 17.50 ,9%,,,,,,,,,,,,
02/02/2026,001,PO-011426-01,ALMMSC,OFFICE SUPPLIES,VELLUM BOARD,2, ₱ 39.00 , ₱ 78.00 , ₱ 44.00 , ₱ 88.00 ,, ₱ 10.00 ,11%,,,,,,,,,,,,
02/02/2026,001,PO-011426-01,ALMMSC,OFFICE SUPPLIES,CLEARSHEET A4,1, ₱ 130.00 , ₱ 130.00 , ₱ 143.00 , ₱ 143.00 ,, ₱ 13.00 ,9%,,,,,,,,,,,,
,,,,,,,,,,," ₱ 3,097.60 ",,,,,,,,,,,,,,
02/02/2026,002,PO-1025-01,ALMMSC,OFFICE SUPPLIES,SMARTIST A4,5, ₱ 152.00 , ₱ 760.00 , ₱ 187.00 , ₱ 935.00 ,, ₱ 175.00 ,19%,,,,,,,,,,,,
02/02/2026,002,PO-1025-01,ALMMSC,OFFICE SUPPLIES,SMARTIST F4,2, ₱ 172.60 , ₱ 345.20 , ₱ 212.30 , ₱ 424.60 ,, ₱ 79.40 ,19%,,,,,,,,,,,,
02/02/2026,002,PO-1025-01,ALMMSC,OFFICE SUPPLIES,SHORT PLASTIC ENVELOPE,1, ₱ 8.05 , ₱ 8.05 , ₱ 9.90 , ₱ 9.90 ,, ₱ 1.85 ,19%,,,,,,,,,,,,
02/02/2026,002,PO-1025-01,ALMMSC,OFFICE SUPPLIES,SHORT BROWN ENVELOPE,1, ₱ 1.70 , ₱ 1.70 , ₱ 2.09 , ₱ 2.09 ,, ₱ 0.39 ,19%,,,,,,,,,,,,
02/02/2026,002,PO-1025-01,ALMMSC,OFFICE SUPPLIES,LONG BROWN ENVELOPE,1, ₱ 2.25 , ₱ 2.25 , ₱ 2.75 , ₱ 2.75 ,, ₱ 0.50 ,18%,,,,,,,,,,,,
02/02/2026,002,PO-1025-01,ALMMSC,OFFICE SUPPLIES,STICKY NOTE 3X2,1, ₱ 12.00 , ₱ 12.00 , ₱ 13.20 , ₱ 13.20 ,, ₱ 1.20 ,9%,,,,,,,,,,,,
02/02/2026,002,PO-1025-01,ALMMSC,OFFICE SUPPLIES,PAPER CLIP NO. 33,1, ₱ 7.92 , ₱ 7.92 , ₱ 9.90 , ₱ 9.90 ,, ₱ 1.98 ,20%,,,,,,,,,,,,
02/02/2026,002,PO-1025-01,ALMMSC,OFFICE SUPPLIES,BINDER CLILP 25MM,1, ₱ 14.00 , ₱ 14.00 , ₱ 18.70 , ₱ 18.70 ,, ₱ 4.70 ,25%,,,,,,,,,,,,
02/02/2026,002,PO-1025-01,ALMMSC,OFFICE SUPPLIES,SMALL RUBBER BAND,1, ₱ 21.00 , ₱ 21.00 , ₱ 33.00 , ₱ 33.00 ,, ₱ 12.00 ,36%,,,,,,,,,,,,
02/02/2026,002,PO-1025-01,ALMMSC,OFFICE SUPPLIES,FINE TECH,1, ₱ 24.00 , ₱ 24.00 , ₱ 33.00 , ₱ 33.00 ,, ₱ 9.00 ,27%,,,,,,,,,,,,
,,,,,,,,,,," ₱ 1,482.14 ",,,,,,,,,,,,,,
02/02/2026,003,PO/AP/26/01-0198,MYBRUSH,CLEANING / JANITORIAL MATERIALS,BROOM PLASTIC,2, ₱ 42.00 , ₱ 84.00 , ₱ 59.85 , ₱ 119.70 ,, ₱ 35.70 ,30%,IVY,02/02/2026,30,03/04/2026,0793,,,,,,,
,,,,,,,,,,, ₱ 119.70 ,,,,,,,,,,,,,,
02/02/2026,004,PO/AP/26/01-0199,MYBRUSH,MATERIALS / MAINTENANCE / MECHANICAL / HARDWARE,"3/4"" TEPLON TAPE, TOMBO BRAND",5, ₱ 20.00 , ₱ 106.00 , ₱ 26.60 , ₱ 140.98 ,, ₱ 34.98 ,25%,IVY,,,,,,SHOPEE,,,,,
02/02/2026,004,PO/AP/26/01-0199,MYBRUSH,MATERIALS / MAINTENANCE / MECHANICAL / HARDWARE,"8MM X 2"" TOXS WITH FLATHEAD SCREW",30, ₱ 2.00 , ₱ 60.00 , ₱ 3.99 , ₱ 119.70 ,, ₱ 59.70 ,50%,IVY,,,,,,SHOPEE,,,,,
02/02/2026,004,PO/AP/26/01-0199,MYBRUSH,MATERIALS / MAINTENANCE / MECHANICAL / HARDWARE,BROTHER TZ-231 BLACK ON WHITE LABEL TAPE 12MM,1, ₱ 98.00 , ₱ 98.00 , ₱ 133.00 , ₱ 133.00 ,, ₱ 35.00 ,26%,IVY,,,,,,SHOPEE,,,,,
,,,,,,,,,,, ₱ 393.68 ,,,,,,,,,,,,,,
02/02/2026,005,ADMMPO-2026-002-004,COVAC,OFFICE SUPPLIES,NEWSPRINT A4,8, ₱ 84.00 , ₱ 672.00 , ₱ 135.00 ," ₱ 1,080.00 ",, ₱ 408.00 ,38%,ANN,02/10/2026,30,03/12/2026,0906,,,,,,,
02/02/2026,005,ADMMPO-2026-002-004,COVAC,OFFICE SUPPLIES,HARDCOPY A4,7, ₱ 138.00 , ₱ 966.00 , ₱ 205.00 ," ₱ 1,435.00 ",, ₱ 469.00 ,33%,ANN,02/10/2026,30,03/12/2026,0906,,,,,,,
02/02/2026,005,ADMMPO-2026-002-004,COVAC,OFFICE SUPPLIES,"DOUBLE SIDED TAPE 1/2"" X 10M",2, ₱ 11.00 , ₱ 22.00 , ₱ 14.85 , ₱ 29.70 ,, ₱ 7.70 ,26%,ANN,02/10/2026,30,03/12/2026,0906,,,,,,,
02/02/2026,005,ADMMPO-2026-002-004,COVAC,OFFICE SUPPLIES,WHITEBOARD MARKER (BLACK),2, ₱ 20.00 , ₱ 40.00 , ₱ 28.35 , ₱ 56.70 ,, ₱ 16.70 ,29%,ANN,02/10/2026,30,03/12/2026,0906,,,,,,,
02/02/2026,005,ADMMPO-2026-002-004,COVAC,OFFICE SUPPLIES,STAPLE WIRE NO. 35,1, ₱ 22.00 , ₱ 22.00 , ₱ 32.40 , ₱ 32.40 ,, ₱ 10.40 ,32%,ANN,02/10/2026,30,03/12/2026,0906,,,,,,,
02/02/2026,005,ADMMPO-2026-002-004,COVAC,OFFICE SUPPLIES,"LAMINATING FIL,M A4 125MIC",1, ₱ 490.00 , ₱ 490.00 , ₱ 661.50 , ₱ 661.50 ,, ₱ 171.50 ,26%,ANN,02/10/2026,30,03/12/2026,0906,,,,,,,
,,,,,,,,,,," ₱ 3,295.30 ",,,,,,,,,,,,,,
02/02/2026,006,ADMMPO-2026-002-005,COVAC,OFFICE SUPPLIES,JOY STICKER PAPER A4 (WHITE),5, ₱ 35.00 , ₱ 175.00 , ₱ 40.50 , ₱ 202.50 ,, ₱ 27.50 ,14%,ANN,02/10/2026,30,03/12/2026,0907,,,,,,,
,,,,,,,,,,, ₱ 202.50 , ₱ -   ,,,,,,,,,,,,,
02/03/2026,007,SLP-NAM-26-007,ENSLP INC.,CLEANING / JANITORIAL MATERIALS,ALBATROSS 100G REFILL ONLY (LEMON/SWEET MARMALADE),3, ₱ 57.00 , ₱ 171.00 , ₱ 72.00 , ₱ 216.00 ,, ₱ 45.00 ,21%,IVY,02/04/2026,30,03/06/2026,0798,,WRAP & CARRY,TANAUAN,137-827-797-00000,,,
02/03/2026,007,SLP-NAM-26-007,ENSLP INC.,CLEANING / JANITORIAL MATERIALS,DISHWASING LIQ 1 GAL.,1, ₱ 108.00 , ₱ 108.00 , ₱ 176.00 , ₱ 176.00 ,, ₱ 68.00 ,39%,IVY,02/04/2026,30,03/06/2026,0798,,,,,,,
02/03/2026,007,SLP-NAM-26-007,ENSLP INC.,CLEANING / JANITORIAL MATERIALS,GARBAGE BAG L 100S,1, ₱ 220.00 , ₱ 220.00 , ₱ 370.00 , ₱ 370.00 ,, ₱ 150.00 ,41%,IVY,02/04/2026,30,03/06/2026,0798,,VISPO,TANAUAN,180-239-753-00001,,,
02/03/2026,007,SLP-NAM-26-007,ENSLP INC.,CLEANING / JANITORIAL MATERIALS,GARBAGE BAG XXL,1, ₱ 460.00 , ₱ 460.00 , ₱ 637.00 , ₱ 637.00 ,, ₱ 177.00 ,28%,IVY,02/04/2026,30,03/06/2026,0798,,VISPO,TANAUAN,180-239-753-00001,,,
