 DATE,S/N,PO NUMBER,COMPANY,CATEGORY,ITEM,QUANTITY REQUESTED,SUPPLIER'S PRICE,TOTAL ACTUAL AMOUNT,NAM UNIT PRICE,TOTAL NAM AMOUNT,TOTAL NAM AMOUNT SUB TOTAL,INCOME,INCOME PERCENT,,DATE DELIVERED,PAYMENT TERM,DUE DATE,SI NUMBER, REMARKS,SUPPLIER,ADDRESS,TIN,SALES INVOICE NO.,CONTACT PERSON/CONTACT #
 ,,,,,,,,,,,,,,,,,,,,,,,,
01/03/2026,001,SLP-NAM-26-003,ENSLP,OFFICE SUPPLIES,EXPANDABLE FOLDER BLUE SHORT,20, ₱ 13.00 , ₱ 260.00 , ₱ 23.40 , ₱ 468.00 ,, ₱ 208.00 ,44%,,01/06/2026,30,02/06/2026,0193,,PAMCO,,,,
01/03/2026,001,SLP-NAM-26-003,ENSLP,OFFICE SUPPLIES,EXPANDABLE FOLDER BLUE LONG,20, ₱ 20.00 , ₱ 400.00 , ₱ 25.00 , ₱ 500.00 ,, ₱ 100.00 ,20%,,01/06/2026,30,02/06/2026,0193,,PAMCO,,,,
01/03/2026,001,SLP-NAM-26-003,ENSLP,OFFICE SUPPLIES,ENERGIZER BATTREY AAA (4PCS/PACK),2, ₱ 207.00 , ₱ 414.00 , ₱ 285.00 , ₱ 570.00 ,, ₱ 156.00 ,27%,,01/06/2026,30,02/06/2026,0194,,PAMCO,,,,
01/03/2026,001,SLP-NAM-26-003,ENSLP,OFFICE SUPPLIES,HBW MATRIX BACK PEN,10, ₱ 4.00 , ₱ 40.00 , ₱ 6.92 , ₱ 69.20 ,, ₱ 29.20 ,42%,,01/06/2026,30,02/06/2026,0193,,PAMCO,,,,
01/03/2026,001,SLP-NAM-26-003,ENSLP,OFFICE SUPPLIES,WHITE FOLDER LONG,10, ₱ 6.00 , ₱ 60.00 , ₱ 9.00 , ₱ 90.00 ,, ₱ 30.00 ,33%,,01/06/2026,30,02/06/2026,0193,,PAMCO,,,,
01/03/2026,001,SLP-NAM-26-003,ENSLP,OFFICE SUPPLIES,HBW CORRECTION TAPE,6, ₱ 15.00 , ₱ 90.00 , ₱ 23.00 , ₱ 138.00 ,, ₱ 48.00 ,35%,,01/06/2026,30,02/06/2026,0193,,PAMCO,,,,
01/03/2026,001,SLP-NAM-26-003,ENSLP,OFFICE SUPPLIES,VINYL PAPER CLIP 50MM,2, ₱ 9.00 , ₱ 18.00 , ₱ 15.00 , ₱ 30.00 ,, ₱ 12.00 ,40%,,01/06/2026,30,02/06/2026,0193,,PAMCO,,,,
01/03/2026,001,SLP-NAM-26-003,ENSLP,OFFICE SUPPLIES,I.D CLIP METAL,50, ₱ 1.00 , ₱ 50.00 , ₱ 2.40 , ₱ 120.00 ,, ₱ 70.00 ,58%,,01/06/2026,30,02/06/2026,0194,,PAMCO,,,,
,,,,,,,,,,," ₱ 1,985.20 ",,,,,,,,,,,,,
01/03/2026,002,SLP-NAM-26-001,ENSLP,CLEANING MATERIALS,ALBATROSS 100g REFILL ONLY (SWEET MARMALADE/LEMON),3, ₱ 50.00 , ₱ 150.00 , ₱ 72.00 , ₱ 216.00 ,, ₱ 66.00 ,31%,,01/06/2026,30,02/06/2026,0195,,,,,,
